country,has_financial_data,total_squad_value,star_player_value,star_reliance_gini,haaland_flag,avg_age,age_peak_score,n_past_prime,n_youth_u24,avg_caps,total_squad_goals,pct_elite_league,total_club_minutes,avg_club_minutes,burnout_coverage,max_club_players,top_club,formation,depth_gk,depth_def,depth_mid,depth_att,depth_overall,n_injured,pct_value_injured,manager,tenure_days,has_elite_pedigree,group,full_elo,hot_elo,elo_volatility,squad_rank
Austria,1,234832000.0,32000000.0,0.479,0,28.6,0.935,1,2,38.6,149,0.654,41043,1642.0,0.96,2,RB Leipzig,4-2-3-1,0.8,0.215,0.251,0.133,0.35,0,0.0,Ralf Rangnick,1440,1,J,1853.9,1717.3,5.7,22
United States,1,367328000.0,50000000.0,0.471,0,26.9,0.965,1,5,37.0,125,0.5,34510,1380.0,0.64,2,Borussia Mönchengladbach,4-3-3,0.9,0.211,0.147,0.429,0.422,0,0.0,Mauricio Pochettino,600,1,D,1845.3,1603.1,5.9,23
Türkiye,1,469700000.0,90000000.0,0.541,0,27.7,0.989,0,4,37.3,97,0.346,53558,2060.0,0.962,6,Fenerbahçe,4-3-3,0.25,0.293,0.142,0.199,0.221,0,0.0,Vincenzo Montella,949,0,D,1840.1,1687.3,8.2,24
Sweden,1,407275000.0,100000000.0,0.651,0,27.6,0.977,0,3,20.0,65,0.538,38274,1472.0,0.808,1,Derby County,4-3-3,0.286,0.235,0.188,0.023,0.183,0,0.0,Graham Potter,195,1,F,1833.5,1700.3,9.0,25
Senegal,1,455300000.0,50000000.0,0.481,0,27.1,0.908,2,9,37.9,131,0.769,44337,1705.0,0.885,2,Nice,4-3-3,0.393,0.234,0.247,0.374,0.312,0,0.0,Pape Thiaw,506,0,I,1829.8,1659.2,6.5,26
Canada,1,195900000.0,45000000.0,0.615,0,27.0,0.986,0,5,36.7,133,0.269,14253,548.0,0.462,3,Los Angeles FC,4-3-3,0.379,0.123,0.138,0.165,0.201,0,0.0,Jesse Marsch,720,1,B,1822.3,1618.1,6.8,27
Uzbekistan,1,58933333.0,35000000.0,0.856,1,28.2,0.928,2,5,32.1,116,0.038,6365,265.0,0.125,3,Pakhtakor,4-2-3-1,1.0,0.006,0.028,0.007,0.26,0,0.0,Fabio Cannavaro,209,0,K,1788.6,1605.4,4.0,28
Algeria,1,254280000.0,40000000.0,0.593,0,26.8,0.952,1,6,30.4,124,0.423,32567,1303.0,0.64,2,USM Alger,4-3-3,0.025,0.068,0.291,0.095,0.12,0,0.0,Vladimir Petković,794,0,J,1788.3,1656.9,7.3,29
Ivory Coast,1,511300000.0,75000000.0,0.472,0,25.8,0.984,0,9,27.0,83,0.538,48871,1880.0,0.923,2,Charleroi,4-3-3,0.38,0.35,0.284,0.347,0.34,0,0.0,Emerse Faé,830,0,E,1785.0,1675.2,7.4,30
Paraguay,1,150332000.0,25000000.0,0.55,0,29.0,0.892,3,3,26.5,53,0.192,7909,316.0,0.2,3,Palmeiras,4-4-2,0.12,0.182,0.221,0.099,0.155,0,0.0,Gustavo Alfaro,625,0,D,1781.7,1670.0,6.3,31
Scotland,1,178550000.0,45000000.0,0.612,0,29.2,0.939,1,3,37.4,98,0.346,26400,1015.0,0.654,2,Rangers,4-4-2,0.283,0.132,0.051,0.278,0.186,0,0.0,Steve Clarke,2540,0,C,1781.1,1691.8,4.6,32
Panama,1,64900000.0,50000000.0,0.886,1,30.4,0.803,5,0,59.3,126,0.038,3342,129.0,0.077,2,Saprissa,4-2-3-1,0.077,0.009,0.031,1.0,0.279,0,0.0,Thomas Christiansen,2110,0,L,1776.1,1586.9,5.8,33
Egypt,1,130508696.0,60000000.0,0.8,1,29.1,0.914,2,1,31.6,126,0.115,5728,249.0,0.174,8,Al Ahly,4-3-3,0.02,0.057,0.071,0.094,0.06,0,0.0,Hossam Hassan,1391,0,G,1773.9,1655.6,5.7,34
Czech Republic,1,163225000.0,20000000.0,0.476,0,27.6,0.935,2,6,27.8,98,0.231,28055,1079.0,0.885,10,Slavia Prague,4-3-3,0.327,0.233,0.225,0.163,0.237,0,0.0,Miroslav Koubek,135,0,A,1751.8,1661.2,7.0,35
New Zealand,1,28700000.0,6000000.0,0.554,0,28.3,0.849,4,6,31.7,106,0.038,7874,303.0,0.192,6,Auckland FC,4-2-3-1,0.233,0.167,0.251,0.057,0.177,0,0.0,Darren Bazeley,1030,0,G,1745.7,1608.0,5.3,36
Jordan,1,5795833.0,3000000.0,0.701,1,28.5,0.947,0,5,40.9,92,0.038,638,27.0,0.083,7,Al-Hussein,4-3-3,0.5,0.19,1.0,0.044,0.433,0,0.0,Jamal Sellami,700,0,J,1744.5,1604.3,6.4,37
Saudi Arabia,1,32750000.0,5000000.0,0.459,0,28.5,0.921,2,2,35.7,96,0.038,1345,52.0,0.038,7,Al-Hilal,4-3-3,0.161,0.375,0.282,0.243,0.265,0,0.0,Georgios Donis,10,0,H,1737.1,1607.3,4.4,38
Iraq,1,12850000.0,3500000.0,0.692,0,26.9,0.99,0,6,31.8,89,0.0,1843,71.0,0.154,3,Al-Talaba,4-4-2,1.0,0.133,0.047,0.076,0.314,0,0.0,Graham Arnold,359,0,I,1729.7,1597.2,6.7,39
DR Congo,1,168290909.0,30000000.0,0.577,0,29.1,0.901,2,3,30.6,82,0.346,22228,1010.0,0.773,2,AEL,4-3-3,0.01,0.238,0.097,0.084,0.107,0,0.0,Sébastien Desabre,1364,0,K,1706.3,1653.6,5.5,40
Haiti,1,97435000.0,18000000.0,0.561,0,27.5,0.921,2,3,24.0,115,0.154,8710,436.0,0.35,2,Colorado Springs Switchbacks FC,4-3-3,0.022,0.385,0.008,0.122,0.134,0,0.0,Sebastien Migne,1098,0,C,1702.2,1575.9,6.1,41
Tunisia,1,46691667.0,7000000.0,0.592,0,26.6,0.979,0,8,22.4,43,0.192,17633,735.0,0.458,2,Club Africain,4-2-3-1,1.0,0.127,0.163,0.079,0.342,0,0.0,Sabri Lamouchi,109,0,F,1701.8,1605.9,9.3,42
Ghana,1,211250000.0,75000000.0,0.631,1,27.0,0.949,1,7,21.6,67,0.5,29119,1120.0,0.654,3,Auxerre,4-3-3,0.117,0.429,0.088,0.287,0.23,0,0.0,Carlos Queiroz,20,0,L,1683.6,1629.8,5.6,43
Bosnia and Herzegovina,1,134628000.0,22000000.0,0.508,0,26.5,0.957,1,9,23.0,93,0.231,25453,1018.0,0.8,2,Rijeka,4-3-3,0.444,0.159,0.366,0.155,0.281,0,0.0,Sergej Barbarez,744,0,B,1675.7,1648.4,6.0,44
Qatar,1,9400000.0,4500000.0,0.791,1,29.5,0.779,7,4,54.7,208,0.0,0,0.0,0.0,6,Al-Duhail,4-3-3,1.0,0.308,0.375,0.02,0.426,0,0.0,Julen Lopetegui,367,1,B,1674.6,1556.3,7.2,45
Cape Verde,1,93940476.0,30000000.0,0.673,1,29.7,0.812,5,2,31.7,75,0.077,11960,570.0,0.429,1,Chaves,4-2-3-1,0.75,0.012,0.065,0.344,0.293,0,0.0,Bubista,2287,0,H,1647.8,1631.6,6.1,46
Curaçao,1,29968421.0,4000000.0,0.37,0,28.0,0.918,1,4,23.8,73,0.0,16445,866.0,0.526,2,Miami FC,5-3-2,0.125,0.297,0.337,0.276,0.259,0,0.0,Fred Rutten,69,0,E,1608.1,1512.2,6.1,47
South Africa,1,21480952.0,10000000.0,0.776,1,26.8,0.965,1,8,18.6,61,0.038,1372,65.0,0.048,8,Mamelodi Sundowns,4-3-3,1.0,0.031,,0.015,,0,0.0,Hugo Broos,1824,0,A,-787.2,1616.6,6.2,48
