country,squad_goalkeeper,squad_ball_playing_cb,squad_stopper_cb,squad_traditional_cb,squad_attacking_wing_back,squad_full_back,squad_holding_full_back,squad_deep_lying_playmaker,squad_box_to_box_dm,squad_midfield_playmaker,squad_box_to_box,squad_pressing_cm,squad_advanced_playmaker,squad_attacking_midfielder,squad_inside_forward,squad_traditional_winger,squad_wide_playmaker,squad_poacher,squad_false_nine,squad_target_forward,squad_data_limited,tactical_entropy,avg_versatility,formation,xi_goalkeeper,xi_ball_playing_cb,xi_stopper_cb,xi_traditional_cb,xi_attacking_wing_back,xi_full_back,xi_holding_full_back,xi_deep_lying_playmaker,xi_box_to_box_dm,xi_midfield_playmaker,xi_box_to_box,xi_pressing_cm,xi_advanced_playmaker,xi_attacking_midfielder,xi_inside_forward,xi_traditional_winger,xi_wide_playmaker,xi_poacher,xi_false_nine,xi_target_forward,xi_data_limited
New Zealand,3,1,1,3,0,4,1,1,2,0,1,1,0,2,0,1,2,0,2,1,0,3.719,0.451,4-2-3-1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
Norway,3,1,1,3,1,1,0,1,1,1,2,0,0,2,1,1,2,1,2,0,0,3.665,0.449,4-4-2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
Panama,3,3,1,1,0,2,0,1,2,1,0,0,0,0,0,2,2,0,1,3,1,3.302,0.436,4-2-3-1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1
Paraguay,1,1,1,4,0,2,0,2,1,0,2,0,0,2,0,1,1,0,4,1,0,3.235,0.462,4-4-2,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0
Portugal,3,0,2,2,0,1,4,2,1,0,0,1,2,1,2,1,1,0,2,1,0,3.748,0.499,4-3-3,1,0,1,1,0,0,3,1,0,0,0,1,0,0,1,0,1,0,1,0,0
Qatar,2,2,0,3,0,2,0,1,2,0,0,0,0,0,0,2,1,0,2,1,0,2.61,0.313,4-3-3,1,2,0,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,2,0,0
Saudi Arabia,3,0,0,3,0,6,1,0,2,0,3,0,0,0,0,1,2,0,2,1,0,2.963,0.446,4-3-3,1,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0
Scotland,3,2,0,1,0,3,1,0,0,1,2,2,0,0,0,0,2,0,3,2,1,3.225,0.382,4-4-2,1,0,0,1,0,2,1,0,0,1,2,1,0,0,0,0,1,0,1,0,0
Senegal,2,0,2,3,0,1,1,0,0,1,6,0,0,0,0,1,4,2,2,0,0,3.125,0.463,4-3-3,1,0,1,1,0,1,1,0,0,1,2,0,0,0,0,1,1,1,0,0,0
South Africa,3,1,1,2,0,2,2,0,1,0,1,0,0,1,0,3,1,0,2,1,0,3.123,0.345,4-3-3,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0
South Korea,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.181,0.017,4-3-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spain,2,0,2,2,1,0,2,1,1,0,3,1,0,1,3,2,0,2,1,0,0,3.512,0.463,4-3-3,1,0,2,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0
Sweden,3,1,1,4,1,1,1,1,0,0,5,1,0,0,0,3,1,0,3,0,0,3.398,0.519,4-3-3,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,2,0,0,2,0,0
Switzerland,3,0,2,3,1,0,1,2,1,0,4,0,0,2,1,2,0,0,1,1,1,3.539,0.472,4-3-3,1,0,2,2,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,0,0
Tunisia,2,1,2,0,0,4,0,1,1,0,1,0,0,0,0,2,4,1,2,0,0,2.873,0.428,4-2-3-1,1,0,1,0,0,2,0,1,1,0,1,0,0,0,0,2,2,0,0,0,0
Türkiye,3,0,3,2,0,1,3,1,3,1,0,0,1,1,3,0,3,0,1,0,0,3.526,0.471,4-3-3,1,0,1,1,0,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0
United States,3,1,4,0,0,0,4,1,0,1,2,0,0,3,0,1,1,3,0,0,0,3.098,0.435,4-3-3,1,0,1,0,0,0,3,1,0,0,1,0,0,1,0,0,1,2,0,0,0
Uruguay,4,0,1,2,0,3,2,2,0,0,2,1,0,1,0,1,2,0,1,2,0,3.387,0.407,4-2-3-1,1,0,1,2,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0
Uzbekistan,2,1,1,3,0,2,0,0,1,0,3,0,0,1,0,3,1,1,1,0,0,2.913,0.36,4-2-3-1,1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0
