player_name,country,player_id,club_team,age,general_position,specific_position,market_value,international_caps,international_goals,goals_per_90,assists_per_90,interceptions,tackles_won,crosses,wc_group,role,versatility
David Douděra,Czech Republic,493758.0,Slavia Prague,28.0,DEF,Right Midfield,50000.0,17,2,0.05,0.01,21.0,20.0,22.4,A,Box-to-Box,0.619
Tomáš Souček,Czech Republic,283628.0,West Ham United,31.3,MID,Defensive Midfield,12000000.0,90,17,0.23,0.0,16.0,21.0,12.0,A,Deep-Lying Playmaker,0.821
Lukáš Horníček,Czech Republic,629773.0,Braga,23.9,GK,Goalkeeper,10000000.0,1,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Alexandr Sojka,Czech Republic,826103.0,Viktoria Plzeň,23.2,MID,Central Midfield,50000.0,2,0,0.14,0.1,5.0,10.6,17.8,A,Pressing CM,0.426
Hugo Sochůrek,Czech Republic,1206877.0,Sparta Prague,18.0,MID,Central Midfield,50000.0,1,0,0.05,0.08,1.2,3.4,7.4,A,Pressing CM,0.422
Denis Višinský,Czech Republic,652060.0,Viktoria Plzeň,23.2,ATT,Attacking Midfield,50000.0,2,1,0.14,0.05,21.6,20.4,5.2,A,Attacking Midfielder,0.338
Raúl Rangel,Mexico,802855.0,Guadalajara,26.3,GK,Goalkeeper,50000.0,14,0,0.73,0.0,7.0,12.0,7.0,A,Goalkeeper,0.0
Jorge Sánchez,Mexico,356044.0,PAOK,28.5,DEF,Right-Back,3500000.0,59,3,0.03,0.0,34.0,27.0,19.0,A,Holding Full-Back,0.547
César Montes,Mexico,387687.0,Lokomotiv Moscow,29.3,DEF,Centre-Back,7000000.0,67,4,0.11,0.21,5.01,11.92,37.6,A,Ball-Playing CB,0.369
Edson Álvarez,Mexico,401356.0,Fenerbahçe,28.6,DEF,Defensive Midfield,22000000.0,98,7,0.0,0.12,16.0,18.0,2.0,A,Box-to-Box DM,0.681
Johan Vásquez,Mexico,532937.0,Genoa,27.6,DEF,Centre-Back,10000000.0,46,3,0.0,0.0,46.0,37.0,23.0,A,Stopper CB,0.4
Érik Lira,Mexico,602324.0,Cruz Azul,26.1,MID,Defensive Midfield,50000.0,25,0,0.09,0.11,12.8,16.2,37.4,A,Box-to-Box DM,0.636
Luis Romo,Mexico,532938.0,Guadalajara,31.0,MID,Centre-Back,50000.0,63,4,0.14,0.2,8.25,11.75,43.75,A,Ball-Playing CB,0.33
Álvaro Fidalgo,Mexico,261503.0,Real Betis,29.2,MID,Central Midfield,7000000.0,4,0,0.19,0.0,3.0,5.0,6.0,A,Pressing CM,0.429
Raúl Jiménez,Mexico,206040.0,Fulham,35.1,ATT,Centre-Forward,4000000.0,124,45,0.38,0.13,7.0,19.0,7.0,A,Poacher,0.837
Alexis Vega,Mexico,424689.0,Toluca,28.5,ATT,Left Winger,50000.0,52,7,0.13,0.03,4.8,4.8,7.0,A,Wide Playmaker,0.422
Santiago Giménez,Mexico,552955.0,Milan,25.1,ATT,Centre-Forward,40000000.0,47,6,0.0,0.0,1.0,4.0,1.0,A,Target Forward,0.467
Carlos Acevedo,Mexico,356042.0,Santos Laguna,30.1,GK,Goalkeeper,50000.0,7,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Guillermo Ochoa,Mexico,29559.0,AEL Limassol,40.9,GK,Goalkeeper,1000000.0,152,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Armando González,Mexico,837619.0,Guadalajara,23.1,ATT,Centre-Forward,50000.0,7,1,0.26,0.06,12.4,12.2,3.4,A,Target Forward,0.882
Israel Reyes,Mexico,687558.0,América,26.1,DEF,Right-Back,50000.0,34,2,0.22,0.1,15.6,14.0,25.0,A,Full-Back,0.619
Julián Quiñones,Mexico,416090.0,Al-Qadsiah,29.2,ATT,Centre-Forward,50000.0,22,2,0.01,0.01,9.0,8.0,2.4,A,Target Forward,0.489
Orbelín Pineda,Mexico,334042.0,AEK Athens,30.2,MID,Central Midfield,7000000.0,92,12,0.09,0.13,12.71,17.73,35.44,A,Box-to-Box,0.828
Obed Vargas,Mexico,889435.0,Atlético Madrid,20.8,MID,Central Midfield,50000.0,6,0,0.0,0.19,8.0,11.0,4.0,A,Pressing CM,0.675
Gilberto Mora,Mexico,1155723.0,Tijuana,17.7,MID,Attacking Midfield,50000.0,8,0,0.05,0.08,1.4,2.6,9.2,A,Attacking Midfielder,0.365
Mateo Chávez,Mexico,1066953.0,AZ,22.1,DEF,Left-Back,50000.0,10,0,0.0,0.23,16.0,30.0,19.0,A,Holding Full-Back,0.65
César Huerta,Mexico,540315.0,Anderlecht,25.5,ATT,Left Winger,5000000.0,26,3,0.24,0.16,6.5,14.0,51.0,A,Traditional Winger,0.681
Guillermo Martínez,Mexico,347932.0,Pumas UNAM,31.2,ATT,Centre-Forward,50000.0,12,3,0.14,0.2,8.25,11.75,43.75,A,Target Forward,0.844
Jesús Gallardo,Mexico,344854.0,Toluca,31.8,DEF,Left-Back,50000.0,121,3,0.05,0.0,2.6,4.2,12.2,A,Full-Back,0.371
Luis Chávez,Mexico,331059.0,Dynamo Moscow,30.4,MID,Defensive Midfield,9000000.0,45,5,0.35,0.15,11.0,29.0,97.0,A,Deep-Lying Playmaker,0.722
Roberto Alvarado,Mexico,353583.0,Guadalajara,27.8,ATT,Right Winger,50000.0,67,5,0.0,0.0,4.0,3.8,5.0,A,Wide Playmaker,0.427
Brian Gutiérrez,Mexico,724443.0,Guadalajara,23.0,MID,Attacking Midfield,50000.0,7,2,0.4,0.13,20.0,25.0,21.0,A,Attacking Midfielder,0.828
Ronwen Williams,South Africa,175577.0,Mamelodi Sundowns,34.4,GK,Goalkeeper,50000.0,62,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Thabang Matuludi,South Africa,1109254.0,Polokwane City,27.4,DEF,Right-Back,50000.0,3,0,0.06,0.01,11.0,13.8,28.4,A,Full-Back,0.488
Khulumani Ndamane,South Africa,1283140.0,Mamelodi Sundowns,22.3,DEF,Centre-Back,50000.0,5,0,0.0,0.0,5.2,3.6,1.2,A,Traditional CB,0.362
Teboho Mokoena,South Africa,436372.0,Mamelodi Sundowns,29.4,MID,Defensive Midfield,50000.0,51,9,0.14,0.06,11.2,9.8,18.0,A,Box-to-Box DM,0.556
Thalente Mbatha,South Africa,735697.0,Orlando Pirates,26.3,MID,Central Midfield,50000.0,15,3,0.18,0.18,13.8,16.6,51.2,A,Box-to-Box,0.789
Aubrey Modiba,South Africa,353432.0,Mamelodi Sundowns,30.9,DEF,Left-Back,50000.0,44,3,0.14,0.2,8.25,11.75,43.75,A,Full-Back,0.675
Oswin Appollis,South Africa,673381.0,Orlando Pirates,24.8,ATT,Left Winger,50000.0,26,8,0.15,0.0,21.2,17.4,20.4,A,Traditional Winger,0.725
Tshepang Moremi,South Africa,844485.0,Orlando Pirates,25.7,ATT,Left Winger,50000.0,10,1,0.17,0.03,2.4,2.0,5.2,A,Wide Playmaker,0.426
Lyle Foster,South Africa,467623.0,Burnley,25.8,ATT,Centre-Forward,13000000.0,27,10,0.2,0.13,4.0,12.0,6.0,A,Target Forward,0.763
Relebohile Mofokeng,South Africa,1125037.0,Orlando Pirates,21.6,ATT,Left Winger,50000.0,13,0,0.08,0.0,5.4,6.6,5.2,A,Wide Playmaker,0.442
Themba Zwane,South Africa,,Mamelodi Sundowns,36.9,MID,,,54,12,,,,,,A,,0.5
Thapelo Maseko,South Africa,,AEL Limassol,22.6,ATT,,,10,1,,,,,,A,,0.5
Sphephelo Sithole,South Africa,,Tondela,27.3,MID,,,28,1,,,,,,A,,0.5
Mbekezeli Mbokazi,South Africa,1378320.0,Chicago Fire FC,20.7,DEF,Centre-Back,50000.0,10,1,0.0,0.0,2.8,1.6,1.2,A,Traditional CB,0.356
Iqraam Rayners,South Africa,337884.0,Mamelodi Sundowns,30.5,ATT,Centre-Forward,50000.0,14,4,0.14,0.2,8.25,11.75,43.75,A,Target Forward,0.844
Sipho Chaine,South Africa,453370.0,Orlando Pirates,29.5,GK,Goalkeeper,50000.0,4,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Evidence Makgopa,South Africa,746781.0,Orlando Pirates,26.0,ATT,Centre-Forward,50000.0,26,6,0.09,0.11,12.8,16.2,37.4,A,False Nine,0.67
Samukele Kabini,South Africa,1175086.0,Molde,22.2,DEF,Left-Back,50000.0,6,0,0.35,0.15,11.0,29.0,97.0,A,Holding Full-Back,0.72
Nkosinathi Sibisi,South Africa,399068.0,Orlando Pirates,30.7,DEF,Centre-Back,50000.0,20,0,0.14,0.2,8.25,11.75,43.75,A,Ball-Playing CB,0.33
Khuliso Mudau,South Africa,450806.0,Mamelodi Sundowns,31.1,DEF,Right-Back,50000.0,32,1,0.14,0.2,8.25,11.75,43.75,A,Full-Back,0.675
Ime Okon,South Africa,,Hannover 96,22.3,DEF,,,8,1,,,,,,A,,0.5
Ricardo Goss,South Africa,258304.0,Siwelele,32.2,GK,Goalkeeper,50000.0,5,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Jayden Adams,South Africa,804472.0,Mamelodi Sundowns,25.1,MID,Central Midfield,50000.0,5,0,0.06,0.05,9.4,14.4,48.6,A,Pressing CM,0.789
Olwethu Makhanya,South Africa,1069801.0,Philadelphia Union,22.1,DEF,Centre-Back,50000.0,1,0,0.04,0.0,33.0,33.0,4.0,A,Stopper CB,0.366
Kamogelo Sebelebele,South Africa,994370.0,Orlando Pirates,23.9,ATT,Right Winger,50000.0,3,0,0.04,0.1,10.0,14.6,43.0,A,Traditional Winger,0.795
Bradley Cross,South Africa,,Kaizer Chiefs,25.4,DEF,,,1,0,,,,,,A,,0.5
Kim Seung-gyu,South Korea,92076.0,FC Tokyo,35.7,GK,Goalkeeper,50000.0,87,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Lee Han-beom,South Korea,706963.0,Midtjylland,24.0,DEF,Centre-Back,1800000.0,8,0,0.0,0.0,11.0,8.0,21.0,A,Traditional CB,0.529
Lee Gi-hyuk,South Korea,763349.0,Gangwon FC,25.9,MID,Centre-Back,50000.0,3,0,0.16,0.13,4.6,4.6,13.4,A,Traditional CB,0.648
Kim Min-jae,South Korea,503482.0,Bayern Munich,29.6,DEF,Centre-Back,25000000.0,79,4,0.06,0.06,36.0,18.0,1.0,A,Stopper CB,0.505
Kim Tae-hyeon,South Korea,645847.0,Kashima Antlers,25.7,DEF,Centre-Back,50000.0,7,0,0.06,0.22,11.0,10.6,11.6,A,,0.5
Hwang In-beom,South Korea,365394.0,Feyenoord,29.7,MID,Defensive Midfield,4500000.0,73,6,0.09,0.28,10.0,10.0,41.0,A,Box-to-Box DM,0.74
Son Heung-min,South Korea,91845.0,Los Angeles FC,33.9,ATT,Left Winger,17000000.0,144,56,1.01,0.22,1.0,5.0,36.0,A,Inside Forward,0.578
Paik Seung-ho,South Korea,282689.0,Birmingham City,29.2,MID,Central Midfield,900000.0,27,3,0.13,0.0,4.0,10.0,39.0,A,Pressing CM,0.515
Cho Gue-sung,South Korea,652537.0,Midtjylland,28.4,ATT,Centre-Forward,4500000.0,44,12,0.07,0.02,5.92,5.59,10.63,A,Target Forward,0.436
Lee Jae-sung,South Korea,314398.0,Mainz 05,33.8,MID,Attacking Midfield,2000000.0,105,15,0.17,0.08,23.0,20.0,31.0,A,Attacking Midfielder,0.353
Hwang Hee-chan,South Korea,292246.0,Wolverhampton Wanderers,30.4,MID,Centre-Forward,10000000.0,79,17,0.15,0.08,7.0,4.0,18.0,A,Target Forward,0.515
Song Bum-keun,South Korea,508237.0,Jeonbuk Hyundai Motors,28.7,GK,Goalkeeper,50000.0,3,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Lee Tae-seok,South Korea,639027.0,Austria Wien,23.9,DEF,Left-Back,50000.0,15,1,0.01,0.09,17.4,17.0,26.0,A,Full-Back,0.835
Cho Wi-je,South Korea,550978.0,Jeonbuk Hyundai Motors,24.8,DEF,Centre-Back,50000.0,1,0,0.15,0.01,9.8,14.0,30.2,A,Ball-Playing CB,0.807
Kim Moon-hwan,South Korea,524592.0,Daejeon Hana Citizen,30.9,DEF,Right-Back,50000.0,35,0,0.14,0.2,8.25,11.75,43.75,A,Full-Back,0.675
Park Jin-seob,South Korea,557469.0,Zhejiang,30.6,DEF,Defensive Midfield,50000.0,14,1,0.14,0.2,8.25,11.75,43.75,A,Box-to-Box DM,0.684
Bae Jun-ho,South Korea,912081.0,Stoke City,22.8,MID,Attacking Midfield,50000.0,13,2,0.06,0.04,12.4,10.8,15.0,A,Attacking Midfielder,0.33
Oh Hyeon-gyu,South Korea,639246.0,Beşiktaş,25.2,ATT,Centre-Forward,1800000.0,27,6,0.54,0.09,3.0,1.0,3.0,A,Poacher,0.775
Lee Kang-in,South Korea,557149.0,Paris Saint-Germain,25.3,MID,Attacking Midfield,25000000.0,47,11,0.19,0.25,1.0,8.0,100.0,A,Advanced Playmaker,0.593
Yang Hyun-jun,South Korea,853110.0,Celtic,24.0,MID,Right Winger,2000000.0,9,0,0.12,0.02,19.0,24.0,12.4,A,Traditional Winger,0.551
Jo Hyeon-woo,South Korea,260171.0,Ulsan HD,34.7,GK,Goalkeeper,50000.0,48,0,0.0,0.0,0.0,0.0,0.0,A,Goalkeeper,0.0
Seol Young-woo,South Korea,639414.0,Red Star Belgrade,27.5,DEF,Right-Back,50000.0,34,0,0.0,0.0,3.4,5.2,13.4,A,Full-Back,0.373
Jens Castrop,South Korea,613192.0,Borussia Mönchengladbach,22.9,DEF,Central Midfield,1500000.0,7,0,0.17,0.06,17.0,27.0,21.0,A,Box-to-Box,0.572
Kim Jin-gyu,South Korea,365377.0,Jeonbuk Hyundai Motors,29.3,MID,Central Midfield,50000.0,22,3,0.01,0.01,9.0,8.0,2.4,A,Pressing CM,0.54
Eom Ji-sung,South Korea,706968.0,Swansea City,24.1,MID,Left Winger,50000.0,9,2,0.02,0.0,13.4,20.4,21.0,A,Traditional Winger,0.67
Lee Dong-gyeong,South Korea,558086.0,Ulsan HD,28.7,MID,Attacking Midfield,50000.0,18,4,0.11,0.0,11.4,9.0,2.4,A,Attacking Midfielder,0.335
Nikola Vasilj,Bosnia and Herzegovina,248454.0,FC St. Pauli,30.5,GK,Goalkeeper,4500000.0,26,0,0.0,0.0,1.0,1.0,0.0,B,Goalkeeper,0.0
Nihad Mujakić,Bosnia and Herzegovina,380919.0,Gaziantep,28.2,DEF,Centre-Back,2000000.0,12,1,0.0,0.07,16.0,11.0,16.0,B,Traditional CB,0.621
Dennis Hadžikadunić,Bosnia and Herzegovina,322065.0,Sampdoria,27.9,DEF,Centre-Back,3000000.0,32,0,0.19,0.37,8.89,13.58,51.37,B,Ball-Playing CB,0.309
Tarik Muharemović,Bosnia and Herzegovina,679423.0,Sassuolo,23.3,DEF,Centre-Back,1200000.0,14,1,0.07,0.07,40.0,24.0,2.0,B,Stopper CB,0.409
Sead Kolašinac,Bosnia and Herzegovina,94005.0,Atalanta,33.0,DEF,Centre-Back,10000000.0,65,0,0.0,0.0,10.0,18.0,3.0,B,Traditional CB,0.672
Benjamin Tahirović,Bosnia and Herzegovina,787907.0,Brøndby,23.3,MID,Central Midfield,4500000.0,28,2,0.12,0.05,26.4,22.23,16.65,B,Box-to-Box,0.487
Amar Dedić,Bosnia and Herzegovina,519184.0,Benfica,23.8,DEF,Right-Back,50000.0,28,1,0.05,0.2,16.0,18.0,35.0,B,Holding Full-Back,0.83
Armin Gigović,Bosnia and Herzegovina,651269.0,Young Boys,24.2,MID,Central Midfield,2000000.0,20,1,0.12,0.0,19.33,19.0,3.67,B,Box-to-Box,0.823
Samed Baždar,Bosnia and Herzegovina,710969.0,Jagiellonia Białystok,22.4,ATT,Centre-Forward,50000.0,13,1,0.01,0.0,6.4,5.4,2.4,B,Target Forward,0.436
Ermedin Demirović,Bosnia and Herzegovina,335457.0,VfB Stuttgart,28.2,ATT,Centre-Forward,22000000.0,40,4,0.75,0.2,2.0,9.0,1.0,B,Poacher,0.441
Edin Džeko,Bosnia and Herzegovina,28396.0,Schalke 04,40.2,ATT,Centre-Forward,2700000.0,148,73,0.0,0.0,1.0,1.0,1.0,B,Target Forward,0.479
Mladen Jurkas,Bosnia and Herzegovina,,Borac Banja Luka,18.7,GK,,,0,0,,,,,,B,,0.5
Ivan Bašić,Bosnia and Herzegovina,620560.0,Astana,24.1,MID,Central Midfield,1000000.0,17,0,0.05,0.0,6.0,7.4,14.8,B,Pressing CM,0.476
Ivan Šunjić,Bosnia and Herzegovina,226097.0,Pafos,29.7,MID,Defensive Midfield,1500000.0,11,0,0.79,0.09,2.39,2.36,4.24,B,Box-to-Box DM,0.737
Amar Memić,Bosnia and Herzegovina,638990.0,Viktoria Plzeň,25.4,MID,Right Midfield,50000.0,13,1,0.0,0.0,10.6,14.4,32.4,B,Pressing CM,0.758
Amir Hadžiahmetović,Bosnia and Herzegovina,293213.0,Hull City,29.3,MID,Defensive Midfield,4200000.0,36,0,0.53,0.0,6.0,6.0,6.0,B,Box-to-Box DM,0.807
Dženis Burnić,Bosnia and Herzegovina,251295.0,Karlsruher SC,28.1,MID,Defensive Midfield,550000.0,20,0,0.03,0.0,16.0,20.0,16.26,B,Box-to-Box DM,0.668
Nikola Katić,Bosnia and Herzegovina,422051.0,Schalke 04,29.7,DEF,Centre-Back,1200000.0,17,2,0.12,0.12,2.5,5.0,30.5,B,Ball-Playing CB,0.565
Kerim Alajbegović,Bosnia and Herzegovina,929994.0,Red Bull Salzburg,18.7,ATT,Left Winger,8000000.0,10,1,0.09,0.09,20.61,27.66,21.18,B,Traditional Winger,0.475
Esmir Bajraktarević,Bosnia and Herzegovina,925862.0,PSV Eindhoven,21.3,ATT,Right Winger,5000000.0,16,1,0.37,0.37,3.0,13.0,46.0,B,Inside Forward,0.476
Stjepan Radeljić,Bosnia and Herzegovina,384568.0,Rijeka,28.8,DEF,Centre-Back,50000.0,5,0,0.08,0.03,14.8,14.4,8.0,B,Traditional CB,0.628
Martin Zlomislić,Bosnia and Herzegovina,495320.0,Rijeka,27.8,GK,Goalkeeper,50000.0,3,0,0.0,0.0,0.0,0.0,0.0,B,Goalkeeper,0.0
Haris Tabaković,Bosnia and Herzegovina,203123.0,Borussia Mönchengladbach,32.0,ATT,Centre-Forward,3000000.0,10,4,0.45,0.12,0.0,5.0,2.0,B,Poacher,0.734
Arjan Malić,Bosnia and Herzegovina,805534.0,Sturm Graz,20.8,DEF,Right-Back,50000.0,8,0,0.0,0.0,4.8,6.0,1.0,B,Full-Back,0.372
Jovo Lukić,Bosnia and Herzegovina,457738.0,Universitatea Cluj,27.5,ATT,Centre-Forward,50000.0,3,0,0.04,0.0,3.8,3.0,2.4,B,Target Forward,0.449
Ermin Mahmić,Bosnia and Herzegovina,803049.0,Slovan Liberec,21.2,MID,Attacking Midfield,50000.0,2,0,0.03,0.01,3.0,6.8,10.0,B,Attacking Midfielder,0.336
Dayne St. Clair,Canada,439750.0,Inter Miami CF,29.1,GK,Goalkeeper,50000.0,20,0,0.0,0.0,1.0,0.0,0.0,B,Goalkeeper,0.0
Alistair Johnston,Canada,637446.0,Celtic,27.7,DEF,Right-Back,8000000.0,58,1,0.0,0.0,0.0,0.0,0.0,B,Data-Limited,0.5
Alfie Jones,Canada,340990.0,Middlesbrough,28.7,DEF,Centre-Back,2500000.0,2,0,0.05,0.0,7.5,6.0,1.5,B,Traditional CB,0.373
Luc de Fougerolles,Canada,921995.0,Dender EH,20.7,DEF,Centre-Back,300000.0,13,0,0.0,0.0,0.0,0.0,0.0,B,Data-Limited,0.5
Joel Waterman,Canada,441738.0,Chicago Fire FC,30.4,DEF,Centre-Back,50000.0,17,0,0.0,0.06,20.0,14.0,7.0,B,Traditional CB,0.817
Mathieu Choinière,Canada,589006.0,Los Angeles FC,27.3,MID,Central Midfield,50000.0,23,0,0.14,0.0,8.0,12.0,3.0,B,Pressing CM,0.506
Stephen Eustáquio,Canada,512913.0,Los Angeles FC,29.5,MID,Central Midfield,11000000.0,56,4,0.0,0.0,0.0,3.0,1.0,B,Pressing CM,0.449
Ismaël Koné,Canada,921655.0,Sassuolo,24.0,MID,Central Midfield,14000000.0,40,4,0.22,0.0,10.0,15.0,4.0,B,Pressing CM,0.596
Cyle Larin,Canada,343463.0,Southampton,31.2,ATT,Centre-Forward,3500000.0,90,30,0.0,0.57,0.0,3.0,0.0,B,Poacher,0.736
Jonathan David,Canada,533738.0,Juventus,26.4,ATT,Centre-Forward,35000000.0,77,39,0.32,0.21,6.0,9.0,8.0,B,Poacher,0.744
Liam Millar,Canada,604780.0,Hull City,26.7,MID,Central Midfield,50000.0,41,1,0.13,0.06,10.8,10.2,2.2,B,Pressing CM,0.514
Tani Oluwaseyi,Canada,972465.0,Villarreal,26.1,ATT,Centre-Forward,50000.0,24,2,0.23,0.23,0.0,3.0,3.0,B,Poacher,0.871
Derek Cornelius,Canada,328609.0,Rangers,28.5,DEF,Centre-Back,4000000.0,44,1,0.0,0.0,1.0,0.0,0.0,B,Traditional CB,0.355
Jacob Shaffelburg,Canada,637632.0,Los Angeles FC,26.5,MID,Left Winger,50000.0,31,6,0.32,0.16,2.0,4.0,40.0,B,Wide Playmaker,0.757
Moïse Bombito,Canada,1089202.0,Nice,26.2,DEF,Centre-Back,8000000.0,20,0,0.0,0.0,2.0,1.0,0.0,B,Traditional CB,0.357
Maxime Crépeau,Canada,189014.0,Orlando City SC,32.1,GK,Goalkeeper,50000.0,32,0,0.0,0.0,0.0,0.0,0.0,B,Goalkeeper,0.0
Tajon Buchanan,Canada,638793.0,Villarreal,27.3,ATT,Right Winger,8000000.0,60,8,0.38,0.05,22.0,18.0,29.0,B,Traditional Winger,0.611
Owen Goodman,Canada,814848.0,Barnsley,22.5,GK,Goalkeeper,150000.0,0,0,0.0,0.0,0.0,0.0,0.0,B,Goalkeeper,0.0
Alphonso Davies,Canada,424204.0,Bayern Munich,25.6,DEF,Left-Back,50000000.0,58,15,0.17,0.51,3.0,6.0,6.0,B,Full-Back,0.624
Ali Ahmed,Canada,,Norwich City,25.7,ATT,,,24,1,,,,,,B,,0.5
Jonathan Osorio,Canada,260807.0,Toronto FC,34.0,MID,Central Midfield,50000.0,90,10,0.19,0.05,18.0,13.0,16.0,B,Pressing CM,0.952
Richie Laryea,Canada,417348.0,Toronto FC,31.4,DEF,Right-Back,50000.0,75,1,0.07,0.07,17.0,16.0,5.0,B,Full-Back,0.581
Niko Sigur,Canada,1045375.0,Hajduk Split,22.8,DEF,Defensive Midfield,50000.0,19,2,0.16,0.08,12.6,17.8,24.6,B,Box-to-Box DM,0.801
Promise David,Canada,888785.0,Union Saint-Gilloise,24.9,ATT,Centre-Forward,13000000.0,10,3,0.15,0.17,14.55,17.9,34.07,B,False Nine,0.526
Nathan Saliba,Canada,294798.0,Anderlecht,22.3,MID,Attacking Midfield,2000000.0,15,2,0.0,0.0,35.0,16.0,1.0,B,,0.5
Jayden Nelson,Canada,635445.0,Austin FC,23.7,ATT,Left Winger,50000.0,14,3,0.14,0.34,6.0,17.0,32.0,B,Traditional Winger,0.876
Mahmud Abunada,Qatar,669629.0,Al-Rayyan,26.3,GK,Goalkeeper,50000.0,5,0,0.0,0.0,0.0,0.0,0.0,B,Goalkeeper,0.0
Pedro Miguel,Qatar,228727.0,Al-Sadd,35.8,DEF,Centre-Back,50000.0,105,3,0.44,0.22,3.0,5.0,28.0,B,Ball-Playing CB,0.519
Lucas Mendes,Qatar,83983.0,Al-Wakrah,35.9,DEF,Centre-Back,500000.0,25,1,0.0,0.0,14.0,19.0,48.0,B,Ball-Playing CB,0.453
Issa Laye,Qatar,1264176.0,Al-Arabi,28.5,DEF,Centre-Back,50000.0,4,0,0.01,0.0,11.8,9.2,0.4,B,Traditional CB,0.434
Jassem Gaber,Qatar,735813.0,Al-Rayyan,24.3,DEF,Defensive Midfield,50000.0,32,1,0.11,0.04,7.2,12.4,14.4,B,Box-to-Box DM,0.458
